100 4950
98 42 0.866
92 31 4.801
94 34 6.765
58 55 2.399
93 40 4.720
53  2 6.389
88 84 0.981
75 25 1.712
25 20 4.250
78 29 8.604
87 26 9.066
97 87 0.760
27 10 6.947
47 29 7.571
86 48 2.929
82  2 2.853
75 53 2.360
39 20 7.845
98 51 0.780
99 60 4.481
56 19 0.106
24  2 5.909
98 10 7.732
66 18 7.130
47 19 3.495
56 54 6.842
96 69 8.342
98 69 0.163
30 28 2.885
98 32 2.248
78 52 2.662
89 36 8.393
96 86 6.918
28 20 7.864
97 56 3.426
50 17 6.301
47 27 0.960
34  8 3.158
74  5 0.623
51 25 1.075
91 16 3.144
32 21 5.669
89  7 6.782
75 36 6.985
 2  1 7.463
73 42 2.261
46 43 6.448
77  3 6.594
68 63 3.379
83 14 4.335
50 31 8.983
96 79 8.304
83  3 4.846
96 47 6.268
65 42 1.974
90  8 4.830
67 13 6.306
87 41 7.120
10  1 4.787
99 72 3.211
28  3 8.196
42 23 3.985
72 32 5.130
88 32 9.325
60 42 0.711
55 14 4.199
40  5 3.353
95 16 6.929
53 22 3.118
59 15 0.918
23  3 8.319
46  5 6.061
73  2 2.014
49 44 7.989
77 25 10.000
90  4 7.973
63  6 7.000
88 48 4.121
84 75 3.363
99 98 8.752
15  8 9.520
81 26 4.518
73 41 4.534
97 85 5.903
83 48 8.167
69 20 3.280
55 36 6.572
65 55 1.845
63 62 7.685
33  7 8.966
70  3 5.011
88 15 2.635
69 55 9.481
57 25 8.451
63 13 8.788
84 31 2.409
94 71 5.619
87  5 4.243
38  1 0.724
35 18 6.849
32  0 0.989
53 20 8.706
23  4 1.521
41 37 0.769
98 49 1.127
43 16 1.188
68 56 7.138
85 23 6.459
71  1 8.125
75 37 7.716
87 10 6.584
98 45 3.525
63 34 5.529
80 73 1.053
23 14 8.625
94 45 8.148
94 14 9.476
99 57 9.863
62 52 4.910
59 25 3.667
84 40 8.443
78 64 1.729
92  0 7.181
97 11 7.216
99 18 8.285
95  2 1.299
18 17 1.962
30  9 4.920
60 56 4.453
34 10 7.474
64  8 0.320
86 16 8.179
93 28 0.570
57 54 1.082
95 10 2.970
80 58 7.189
65 36 6.056
90 72 7.361
99 45 5.831
62 25 9.707
70 28 7.640
79  0 6.218
64 46 3.656
79 37 0.434
78 19 7.179
89 50 9.176
77 18 1.068
53 23 9.549
69  3 4.984
66 34 4.760
60 46 7.656
95 48 5.903
59 40 6.445
73 71 3.263
46 10 7.958
71 34 1.467
41 23 2.746
72 68 0.281
84 72 10.029
55 39 6.775
77 27 5.503
91 57 5.615
94 89 3.738
88 37 7.081
47 35 3.735
79 76 2.883
84 65 2.191
 6  1 0.156
77 72 3.921
97  5 7.318
30 10 6.616
48 21 2.178
96  5 7.812
45 36 1.167
56 20 6.705
82 46 9.181
47 16 5.262
68 36 4.871
72 45 5.437
66 11 0.690
70 60 1.418
44 16 6.850
33 19 0.219
97  0 0.983
37  5 3.394
58 35 8.751
89 48 1.322
38 18 8.025
74 33 9.854
93 17 0.135
97  7 0.803
68 39 0.359
52 33 5.340
44  4 5.691
83 63 8.112
36 16 10.062
39 38 5.182
84  3 3.853
64 13 2.423
51  3 7.474
55 21 2.822
73 40 3.670
41 25 0.698
15  2 8.426
 4  0 5.923
71 42 9.938
95 79 9.504
97 24 6.192
59 26 2.588
74 21 2.993
59 54 4.653
71 52 2.364
30 29 6.383
53 38 3.037
62 22 3.785
88 61 7.031
39  8 9.145
63 41 9.936
96 36 9.167
50 47 4.149
85 73 4.215
56 36 2.522
69 56 9.018
81 23 1.183
82 67 5.942
66 63 4.220
16 10 8.149
65  1 5.037
91 40 8.506
95 74 4.856
76 42 8.997
91 45 6.477
60 30 6.191
92 10 1.968
94 29 3.673
79 55 4.625
64  7 9.666
51 17 2.302
99 80 7.963
80 12 1.563
87  3 9.489
93 70 5.894
68 65 4.625
53 29 1.415
69 61 4.873
18 11 3.642
48 36 7.589
74  7 8.429
64  9 5.756
87 11 3.665
90 88 10.075
75 32 7.167
75 48 6.766
77 46 7.683
75 49 6.234
70  2 4.437
59  8 1.625
89 87 5.372
89 28 9.467
54 13 8.371
46 44 0.614
51 10 8.897
47  4 6.765
75  0 0.799
73 14 7.355
56 28 5.285
91  5 2.157
29  1 9.069
64 12 4.801
94 85 2.361
93 39 4.915
48 20 5.087
49 31 4.775
96 57 7.463
80 66 1.202
53 51 0.497
35 21 4.196
84 43 2.057
76 25 2.280
36 33 1.590
41 34 0.624
85 17 3.957
17 13 7.768
52 44 9.213
98 14 1.874
17  0 2.847
89 17 0.955
88 56 1.797
32 11 6.048
84 70 1.842
22  9 6.140
25 21 8.555
88 82 9.534
88 10 8.939
99 36 3.304
97 21 9.876
85 79 1.955
97 91 3.227
37  8 2.424
81 65 9.092
62 30 2.446
74  4 7.865
96 77 5.955
94 53 3.556
48 17 8.572
30 17 5.097
47 18 4.738
82 52 7.636
66 38 9.798
70 27 7.194
85  5 3.454
57 15 2.141
91 18 0.704
90 28 4.535
56 18 2.796
90 10 5.484
17  5 6.662
91 21 3.730
70 53 2.499
32 31 5.680
76 37 9.107
40  3 6.812
95 90 1.041
85 40 9.677
39  5 9.664
46 22 8.456
71  3 7.241
55  3 3.605
81 41 8.538
32 29 1.106
87 72 8.870
55 22 1.631
41 11 9.356
51 37 2.241
98 60 2.324
46  3 4.627
95 17 6.842
41 12 9.314
69 41 1.207
96 78 4.046
38  2 2.137
88 66 5.871
81 47 2.852
85 65 7.864
43  7 6.341
61 32 8.144
84 41 3.760
65 11 0.948
50 32 6.066
93 80 9.188
83 46 9.284
82 48 7.979
18 14 6.192
80 50 7.110
24 14 8.812
86 17 2.422
99 20 10.057
84  8 5.186
86 35 3.165
76 38 2.966
97 46 5.339
31 29 4.891
95 68 2.037
70 57 0.795
58 29 5.674
92 53 0.142
17  7 5.571
47 11 0.454
70 25 8.751
94 81 9.879
85 21 4.885
93 18 6.034
64 42 8.480
31 28 0.889
18  8 2.732
72 30 4.503
71 43 0.583
88 78 3.367
90 20 9.886
85 54 3.144
87 79 9.736
58 26 9.007
77  8 9.429
89 52 7.222
41 18 6.160
77 38 2.639
97 34 5.371
66 57 0.477
52 19 9.597
96 65 3.725
43 21 2.135
99 64 0.740
85 16 3.912
73 27 0.539
54  0 8.704
36 24 7.632
37 22 4.964
86 42 1.982
59 12 0.606
61 50 5.426
64 51 9.251
91  4 5.559
79 14 3.967
42 27 5.815
31  4 7.470
50 28 4.439
31  3 2.798
43 14 3.255
44  0 5.592
55 34 2.425
79 56 5.193
87 47 6.767
72 23 3.137
82 71 7.363
56 44 1.113
55  6 6.150
62 50 5.716
56 39 7.259
65  6 5.591
68  8 2.233
49  7 2.782
95 86 8.631
90 37 9.325
97 62 1.485
90 70 2.051
49 37 9.302
77 68 8.216
74 12 2.436
88 33 8.127
93 54 5.033
61 29 1.284
90 22 0.485
84 53 10.013
83 55 0.995
49 39 2.021
38  0 8.346
55 29 3.363
36 29 5.090
62 59 1.951
98 27 9.796
48 25 2.485
54 15 5.430
85 35 4.377
39  1 0.259
91 66 1.062
87 52 0.277
89 77 5.178
94 84 2.884
94  4 3.522
13  4 6.558
75 11 5.879
88 29 1.615
28 25 4.425
50 18 5.239
68 25 2.493
69  8 8.995
94 20 1.628
53  4 1.435
36 21 1.093
49 38 7.603
51 46 8.894
29  0 0.871
81 74 1.879
73  9 7.308
82 68 7.991
70 67 5.271
54 14 5.273
73  4 10.001
96 19 1.115
86 81 2.677
71 28 4.113
94 37 2.779
95 76 7.390
68 22 9.428
58  0 4.044
58 49 9.962
51 40 7.433
49 33 7.314
60 54 4.008
54 21 8.856
99 26 9.620
71  4 6.464
83 24 9.248
40 20 4.829
67 36 4.325
41  6 3.419
64 15 3.996
77 42 7.043
91 64 2.805
95 35 4.366
38 35 5.623
75 33 2.417
63 17 1.234
56 11 9.456
86 59 9.947
98 83 4.359
60 29 9.115
71 64 5.107
89 15 0.755
83  9 0.227
52 28 1.368
79 42 9.221
54 34 7.578
37 16 7.081
87 32 7.027
80 25 0.571
72 42 9.407
83 60 5.686
67 30 6.951
43  9 0.228
97 70 4.499
16  3 0.108
76  8 1.052
99 77 0.501
42 17 0.300
71 61 9.656
64 52 7.191
96 82 8.047
70 68 7.260
84  9 8.875
61 13 1.171
59 56 4.402
96 73 1.194
85 28 0.787
90 68 7.007
70 44 1.639
75 57 9.352
85 50 7.015
81 59 1.954
51  2 4.195
56  0 5.813
70 11 0.577
97 90 0.862
80 48 8.339
82 51 6.857
97  9 4.887
99 90 0.524
65 40 8.599
87 54 5.648
67 61 8.274
82 20 7.638
31 27 1.451
82 74 8.399
54 25 0.128
49 32 1.985
52  8 0.979
98 50 7.408
88 71 6.583
84 30 2.255
99  8 2.990
83 26 1.388
46  4 3.028
72 27 0.395
69 43 3.734
69 29 3.101
97 41 5.846
77 31 4.184
41  3 1.724
98 37 7.813
78  1 9.309
88  8 9.667
76 61 9.909
83 38 4.844
90 63 0.634
47 37 7.273
51  9 6.276
77 32 1.773
42 20 6.666
81 40 6.342
85 67 6.664
38 25 8.586
65 56 3.682
47  3 9.660
54  7 5.775
82 73 9.695
87 42 9.443
60 26 9.121
77 44 1.367
42 34 9.471
50 45 7.712
23 16 8.220
42  4 2.033
89  8 5.069
25 23 3.230
31 26 7.009
66 47 8.418
11  6 10.003
42 32 4.136
99  4 3.470
74 30 4.417
95 72 2.307
98 73 7.793
36 11 6.649
 7  4 5.340
12  9 2.657
98 70 5.061
60 55 10.061
67 42 6.235
66 30 3.232
46  8 5.023
69 35 5.711
83 27 5.826
67 53 9.640
65 37 6.171
49  1 8.659
92 66 8.439
96 91 0.761
57 10 3.243
98 59 1.384
94 13 3.338
90 42 3.724
80 38 7.729
91 12 1.697
22 10 4.895
77 21 7.131
99 61 5.840
51 38 6.047
33 26 4.177
50 21 9.424
57 41 1.753
75 19 2.121
55 35 1.305
84 45 7.248
66 56 5.933
91 69 2.386
50 48 4.674
90 38 1.740
90 55 9.789
51 30 1.224
85 82 9.717
81 46 4.787
88 73 4.767
86 85 0.998
99 87 8.039
87 76 2.926
93 78 0.349
60  2 7.292
89 70 7.604
98 56 1.615
49 42 4.422
65 63 1.330
99 82 9.367
78 44 6.315
14 11 4.977
97 93 9.406
24  8 4.418
98 48 2.256
65 27 2.932
92  5 6.730
94  8 4.637
70 18 0.967
31  5 5.427
70 63 6.797
79 49 0.819
78  5 9.443
76 39 4.229
82 11 1.086
63 32 0.513
20 19 2.762
30 23 1.647
99 52 0.507
52 31 6.362
21 20 4.748
86 19 1.882
60 18 4.120
87 44 3.820
88 53 5.792
17 15 8.146
89 45 8.787
95 57 8.281
97 76 9.027
96 76 2.186
94  2 8.176
91 17 5.214
95 41 9.855
75 65 6.432
93 77 5.990
46 36 4.239
88 72 4.613
65 45 2.539
79 66 0.771
99 74 2.869
38 28 7.141
61 34 5.419
13 12 2.863
72 40 9.615
79  7 7.422
39 15 1.228
33 31 3.792
97 88 3.471
94 87 2.211
89 38 4.007
30 22 1.508
17  3 3.263
91  9 0.280
39 16 8.487
96 25 3.671
96 62 5.585
33 28 7.904
93 59 9.183
64 38 2.782
38 14 6.180
89 23 6.865
37 23 6.385
70 42 5.772
87 23 9.923
97 82 8.895
97  8 4.274
57 37 5.695
96 15 4.738
79 47 5.831
80 39 8.296
78 40 6.752
22 14 9.186
82 32 5.754
98 36 6.227
96 16 7.243
65 29 6.719
57 36 9.302
36 17 9.327
86 51 2.851
57 18 7.372
18  9 0.903
85 51 10.001
82 61 4.874
72 34 5.663
89 62 7.304
